bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
93,0.021875000000000002,0.025,[2.61332088101204386937624920216002163364433953 +/- 5.54e-45],2.613320881012044,True,8065,306,1944,1825,42,35,[225.014632579197366672143532069 +/- 2.12e-28]
94,0.025,0.03750000000000009,[2.62753853087337577171516775308854898165375792 +/- 3.23e-45],2.627538530873376,True,1625,44,389,402,22,20,[157.709203843257804774094089315 +/- 1.90e-28]
95,0.03750000000000009,0.050000000000000044,[2.623240239170892057194919449324507151091509211 +/- 7.26e-46],2.623240239170892,True,1149,44,275,278,22,21,[198.304027986143056841551596779 +/- 4.93e-28]
96,0.050000000000000044,0.0625,[2.61522762493701556425212101363904453683964475 +/- 1.29e-45],2.6152276249370154,True,1311,44,316,318,22,20,[308.196847215880574395436216163 +/- 2.05e-28]
97,0.0625,0.07499999999999996,[2.602926208010679783662718990120770900415389791 +/- 7.92e-46],2.60292620801068,True,1263,44,304,306,22,20,[298.936510024177431665939351210 +/- 4.40e-28]
98,0.07499999999999996,0.08750000000000013,[2.58893369028795446182643163490087553419293597 +/- 1.32e-45],2.5889336902879543,True,1253,40,297,310,20,19,[261.011153489403625517781948665 +/- 3.71e-29]
99,0.08750000000000013,0.10000000000000009,[2.57401945616290746175411525111880110404939502 +/- 2.57e-45],2.5740194561629073,True,1763,44,416,444,22,19,[266.342450888681481675835364845 +/- 2.84e-28]
100,0.10000000000000009,0.11250000000000004,[2.55927254642443290400353257445710961013686525 +/- 3.71e-45],2.559272546424433,True,1463,44,346,364,22,19,[269.486369888840257006690424974 +/- 1.12e-28]
101,0.11250000000000004,0.125,[2.54448393821080506574447455477887099277552050 +/- 5.47e-45],2.544483938210805,True,1397,44,333,344,22,20,[277.725684303841145925673083195 +/- 4.05e-28]
102,0.125,0.13749999999999996,[2.52974126422389945833370609506110428171635177 +/- 1.35e-45],2.5297412642238997,True,1503,44,358,372,22,20,[272.537486948099649861017601695 +/- 2.08e-28]
103,0.13749999999999996,0.15000000000000013,[2.515320800734241053371225836583377888302226199 +/- 8.80e-46],2.515320800734241,True,1465,44,347,364,22,20,[271.569686544503359928140707960 +/- 4.27e-28]
104,0.15000000000000013,0.1625000000000001,[2.50130909468001619119488484675603518630905542 +/- 3.25e-45],2.5013090946800163,True,1445,44,340,361,22,20,[270.628754021501569231043972898 +/- 1.02e-28]
105,0.1625000000000001,0.17500000000000004,[2.48761458694990434331661011491816567508613623 +/- 1.86e-45],2.4876145869499044,True,2469,52,565,642,24,21,[277.783073306620053848119727415 +/- 4.94e-28]
106,0.17500000000000004,0.1875,[2.47422943662522517839476091995983195203062762 +/- 4.03e-45],2.474229436625225,True,2021,48,461,526,24,21,[282.304638153035570115234208036 +/- 2.02e-28]
107,0.1875,0.20000000000000018,[2.46114376159486424934794113468718910381654567 +/- 1.96e-45],2.4611437615948644,True,1745,48,392,457,24,21,[285.179311792012907913882074371 +/- 2.32e-28]
108,0.20000000000000018,0.21250000000000013,[2.44832450056941845370175662851709750784684295 +/- 2.17e-45],2.4483245005694183,True,1565,48,349,410,24,21,[286.598997833281460372739737386 +/- 2.33e-28]
109,0.21250000000000013,0.2250000000000001,[2.43572049048868477773944697768577579602049219 +/- 2.37e-45],2.4357204904886847,True,1441,48,319,378,24,21,[290.531043475719833395549079096 +/- 4.72e-28]
110,0.2250000000000001,0.23750000000000004,[2.42327109045121423593610318494591892300498651 +/- 1.42e-45],2.4232710904512142,True,1339,48,298,348,24,20,[292.889410684177338516014871343 +/- 2.89e-28]
111,0.23750000000000004,0.25,[2.410754447842198815023765761445270602271408413 +/- 7.27e-46],2.4107544478421987,True,1292,50,290,330,24,21,[300.000868657274589876814387494 +/- 2.57e-28]
112,0.25,0.2625000000000002,[2.398286171460944922374509289597068224689013460 +/- 7.86e-46],2.398286171460945,True,1306,48,291,338,24,20,[298.119115363377489970363785639 +/- 2.75e-28]
113,0.2625000000000002,0.27500000000000013,[2.386163554368429709513834823341679668856260134 +/- 8.94e-46],2.3861635543684296,True,1306,48,288,341,24,20,[296.632977783092275826521397340 +/- 5.13e-30]
114,0.27500000000000013,0.2875000000000001,[2.374378121415118232132159931509310665931871002 +/- 7.79e-46],2.374378121415118,True,1304,50,285,341,24,20,[295.111300486593222077904725195 +/- 2.65e-28]
115,0.2875000000000001,0.30000000000000004,[2.362922238162867773287457332291772635521510423 +/- 9.02e-46],2.362922238162868,True,1299,48,285,341,24,20,[293.751858283773787899805950589 +/- 4.45e-28]
116,0.30000000000000004,0.3125,[2.35178691363069668374211621891726152261112351 +/- 1.19e-45],2.3517869136306966,True,1315,48,290,344,24,20,[292.254231105127977892911471376 +/- 3.54e-29]
117,0.3125,0.3250000000000002,[2.340964811548300073864855959798363595596214030 +/- 8.89e-46],2.3409648115483,True,1341,48,300,347,24,20,[291.167602920917259559120662855 +/- 4.15e-28]
118,0.3250000000000002,0.33750000000000013,[2.330142696739329115645202167597000052532718926 +/- 9.46e-46],2.3301426967393293,True,1277,44,255,362,22,19,[266.188101224409483994872007762 +/- 9.82e-29]
119,0.33750000000000013,0.3500000000000001,[2.319409634197520910477952764568150322321542500 +/- 8.23e-46],2.319409634197521,True,1227,44,248,344,22,19,[265.802966761371899120384906481 +/- 1.51e-28]
120,0.3500000000000001,0.36250000000000004,[2.308900045957596512553263736641261220275042319 +/- 7.19e-46],2.3089000459575963,True,1213,44,240,345,22,19,[265.294001264241495209280855778 +/- 2.75e-29]
121,0.36250000000000004,0.375,[2.29857244957341217799443709079936568119642508 +/- 4.05e-45],2.2985724495734123,True,1161,40,225,336,20,19,[265.333078911602267162557488451 +/- 4.33e-28]
122,0.375,0.3875000000000002,[2.288251492677732389003340024948821533263843291 +/- 7.39e-46],2.288251492677732,True,1141,40,221,330,20,19,[258.818507995782293755403383516 +/- 2.75e-29]
123,0.3875000000000002,0.40000000000000013,[2.277813213206506026850060147290242949425623444 +/- 6.82e-46],2.277813213206506,True,1142,41,214,337,21,20,[191.082149164983265672145233096 +/- 1.95e-28]
124,0.40000000000000013,0.4125000000000001,[2.266547676121884351322639907213083727597057448 +/- 8.91e-46],2.2665476761218843,True,1079,42,201,318,21,20,[196.948308110291419762442541985 +/- 4.25e-28]
125,0.4125000000000001,0.42500000000000004,[2.255481813406720819943606795939275977439908336 +/- 7.15e-46],2.2554818134067207,True,1047,42,195,308,21,20,[202.526579567375980118174249922 +/- 5.34e-29]
126,0.42500000000000004,0.4375,[2.244603162809766613475727181029103470749242612 +/- 6.58e-46],2.2446031628097667,True,1077,46,209,307,23,21,[208.849904267833526297283062569 +/- 4.49e-28]
